preposition;book;chapter;verse;mode;role;type
L;genesis;19;2;literal;path;preexilic
L;genesis;24;56;literal;goal;preexilic
B;genesis;24;65;literal;path;preexilic
L;genesis;32;2;literal;path;preexilic
L;genesis;32;21;literal;path;preexilic
L;genesis;33;12;literal;path;preexilic
B;genesis;42;38;literal;path;preexilic
B;exodus;3;18;literal;goal;preexilic
L;exodus;5;4;literal;goal;preexilic
L;exodus;13;21;literal;path;preexilic
L;exodus;14;19;literal;path;preexilic
B;exodus;14;29;literal;path;preexilic
B;exodus;15;19;literal;path;preexilic
B;exodus;15;22;literal;path;preexilic
B;exodus;16;4;figurative;path;preexilic
B;exodus;18;20;figurative;path;preexilic
L;exodus;23;23;literal;path;preexilic
L;exodus;32;1;literal;path;preexilic
L;exodus;32;23;literal;path;preexilic
L;exodus;32;34;literal;path;preexilic
B;exodus;34;9;literal;path;preexilic
B;leviticus;18;3;figurative;path;preexilic
B;leviticus;18;4;figurative;path;preexilic
B;leviticus;19;16;literal;path;preexilic
B;leviticus;20;23;figurative;path;preexilic
B;leviticus;26;3;figurative;path;preexilic
L;numbers;14;14;literal;path;preexilic
B;numbers;21;22;literal;path;preexilic
B;numbers;22;23;literal;goal;preexilic
L;numbers;24;14;literal;goal;preexilic
L;numbers;24;25;literal;path;preexilic
B;numbers;33;8;literal;goal;preexilic
L;deuteronomy;1;30;literal;path;preexilic
L;deuteronomy;1;33;literal;path;preexilic
B;deuteronomy;1;33;literal;path;preexilic
B;deuteronomy;1;33;literal;path;preexilic
B;deuteronomy;2;27;literal;path;preexilic
B;deuteronomy;5;33;figurative;path;preexilic
B;deuteronomy;6;7;literal;path;preexilic
B;deuteronomy;8;6;figurative;path;preexilic
L;deuteronomy;10;11;literal;path;preexilic
B;deuteronomy;10;12;figurative;path;preexilic
B;deuteronomy;11;19;literal;path;preexilic
B;deuteronomy;11;22;figurative;path;preexilic
B;deuteronomy;13;6;figurative;path;preexilic
L;deuteronomy;16;7;literal;goal;preexilic
B;deuteronomy;19;9;figurative;path;preexilic
B;deuteronomy;26;17;figurative;path;preexilic
B;deuteronomy;28;9;figurative;path;preexilic
B;deuteronomy;28;41;figurative;path;preexilic
B;deuteronomy;29;18;figurative;path;preexilic
B;deuteronomy;30;16;figurative;path;preexilic
L;deuteronomy;31;8;literal;path;preexilic
L;joshua;2;16;literal;path;preexilic
B;joshua;3;4;literal;path;preexilic
L;joshua;3;6;literal;path;preexilic
B;joshua;5;6;literal;path;preexilic
L;joshua;6;9;literal;path;preexilic
L;joshua;6;13;literal;path;preexilic
B;joshua;8;13;literal;goal;preexilic
B;joshua;8;35;literal;path;preexilic
B;joshua;14;10;literal;path;preexilic
L;joshua;22;4;literal;goal;preexilic
B;joshua;22;5;figurative;path;preexilic
B;joshua;23;14;figurative;path;preexilic
B;joshua;24;17;literal;path;preexilic
B;judges;1;3;literal;goal;preexilic
L;judges;2;6;literal;goal;preexilic
B;judges;2;22;figurative;path;preexilic
L;judges;7;7;literal;goal;preexilic
L;judges;9;55;literal;goal;preexilic
B;judges;11;16;literal;path;preexilic
B;judges;11;18;literal;path;preexilic
B;judges;18;6;literal;path;preexilic
L;judges;18;26;literal;path;preexilic
L;judges;19;9;literal;goal;preexilic
L;judges;19;27;literal;path;preexilic
L;judges;19;28;literal;goal;preexilic
L;judges;20;8;literal;goal;preexilic
L;1samuel;1;18;literal;path;preexilic
L;1samuel;2;20;literal;goal;preexilic
B;1samuel;6;12;literal;path;preexilic
B;1samuel;8;3;figurative;path;preexilic
B;1samuel;8;5;figurative;path;preexilic
L;1samuel;8;22;literal;goal;preexilic
L;1samuel;10;26;literal;goal;preexilic
L;1samuel;14;46;literal;goal;preexilic
B;1samuel;15;20;literal;path;preexilic
L;1samuel;17;7;literal;path;preexilic
L;1samuel;17;13;literal;goal;preexilic
B;1samuel;17;13;literal;goal;preexilic
L;1samuel;23;18;literal;goal;preexilic
L;1samuel;23;24;literal;goal;preexilic
B;1samuel;24;8;literal;path;preexilic
L;1samuel;25;42;literal;path;preexilic
L;1samuel;26;12;literal;goal;preexilic
L;1samuel;26;25;literal;path;preexilic
B;1samuel;28;22;literal;path;preexilic
L;1samuel;30;2;literal;path;preexilic
B;2samuel;2;29;literal;path;preexilic
L;2samuel;6;4;literal;path;preexilic
L;2samuel;6;19;literal;goal;preexilic
